Nation,Year,GDP,ProductionCO2,ConsumptionCO2
United States,1990,37062.1302595789,20.31246802965341,20.226863528723626
United States,1991,36543.0849228687,19.924505693560942,19.88349657107218
United States,1992,37321.1290369821,20.135609572485325,19.9749818706388
United States,1993,37843.5732817864,20.34965479550247,20.272610171091284
United States,1994,38891.6981952607,20.496543130567087,20.468182114897797
United States,1995,39476.2658175258,20.503152711701865,20.498284206582063
United States,1996,40500.7954160455,20.962758183822366,20.884613610721324
United States,1997,41811.6387668025,20.985010912951267,20.966067640355615
United States,1998,43166.0818492918,20.895404339658892,21.256655650709703
United States,1999,44672.5494142099,20.92824199475354,21.66079196454349
United States,2000,45986.0527103166,21.288834095709472,22.198984124746733
United States,2001,45977.5499913714,20.72975982598804,21.66241353950304
United States,2002,46366.5779744928,20.68519190100376,21.85100741736581
United States,2003,47260.0419368009,20.67239536313264,21.8815614556109
United States,2004,48597.3373622248,20.883665210794263,22.309773128609265
United States,2005,49762.2379013619,20.781957426389535,22.196445207675904
United States,2006,50598.9483595843,20.319736569356422,22.00244642467284
United States,2007,51011.4250263085,20.38498050988868,21.918986148909607
United States,2008,50383.8405601926,19.533869820858435,20.82137074030555
United States,2009,48557.8676445276,17.934719002284773,19.018275155389258
United States,2010,49374.1788851797,18.44629540363149,19.545545701377755
United States,2011,49793.7135249201,17.88469489924475,19.261185166346817
United States,2012,50520.348289879,17.105173702259446,18.411149760877702
United States,2013,51003.6859904151,17.45540786873757,18.624975620967287
United States,2014,51921.9846391384,17.48534219102281,18.63925630295137
United States,2015,53005.6361464627,16.900396433974954,18.089524501058293
United States,2016,53399.3591673623,16.428481737762706,17.62767882947854
United States,2017,54225.4461231621,16.21344772949664,17.492511629704033
