Entity,Year,Median,UpperBound,LowerBound
Northern Hemisphere,1850,-0.336,-0.284,-0.406
Northern Hemisphere,1851,-0.159,-0.108,-0.242
Northern Hemisphere,1852,-0.107,-0.058,-0.18
Northern Hemisphere,1853,-0.177,-0.132,-0.253
Northern Hemisphere,1854,-0.071,-0.026,-0.145
Northern Hemisphere,1855,-0.19,-0.145,-0.258
Northern Hemisphere,1856,-0.378,-0.335,-0.454
Northern Hemisphere,1857,-0.405,-0.361,-0.479
Northern Hemisphere,1858,-0.4,-0.357,-0.48
Northern Hemisphere,1859,-0.215,-0.158,-0.303
Northern Hemisphere,1860,-0.363,-0.301,-0.454
Northern Hemisphere,1861,-0.295,-0.208,-0.419
Northern Hemisphere,1862,-0.668,-0.573,-0.777
Northern Hemisphere,1863,-0.195,-0.099,-0.319
Northern Hemisphere,1864,-0.521,-0.444,-0.632
Northern Hemisphere,1865,-0.258,-0.165,-0.381
Northern Hemisphere,1866,-0.21,-0.095,-0.35
Northern Hemisphere,1867,-0.338,-0.231,-0.477
Northern Hemisphere,1868,-0.128,-0.012,-0.275
Northern Hemisphere,1869,-0.127,-0.047,-0.242
Northern Hemisphere,1870,-0.203,-0.136,-0.305
Northern Hemisphere,1871,-0.397,-0.322,-0.512
Northern Hemisphere,1872,-0.185,-0.109,-0.287
Northern Hemisphere,1873,-0.295,-0.218,-0.397
Northern Hemisphere,1874,-0.272,-0.183,-0.373
Northern Hemisphere,1875,-0.508,-0.426,-0.618
Northern Hemisphere,1876,-0.345,-0.262,-0.454
Northern Hemisphere,1877,0,0.093,-0.106
Northern Hemisphere,1878,0.192,0.27,0.086
Northern Hemisphere,1879,-0.222,-0.143,-0.32
Northern Hemisphere,1880,-0.242,-0.159,-0.341
Northern Hemisphere,1881,-0.238,-0.162,-0.338
Northern Hemisphere,1882,-0.244,-0.162,-0.339
Northern Hemisphere,1883,-0.359,-0.283,-0.451
Northern Hemisphere,1884,-0.474,-0.406,-0.556
Northern Hemisphere,1885,-0.367,-0.306,-0.456
Northern Hemisphere,1886,-0.338,-0.28,-0.423
Northern Hemisphere,1887,-0.356,-0.292,-0.45
Northern Hemisphere,1888,-0.266,-0.193,-0.355
Northern Hemisphere,1889,-0.138,-0.054,-0.244
Northern Hemisphere,1890,-0.363,-0.273,-0.47
Northern Hemisphere,1891,-0.289,-0.19,-0.409
Northern Hemisphere,1892,-0.466,-0.37,-0.576
Northern Hemisphere,1893,-0.543,-0.449,-0.65
Northern Hemisphere,1894,-0.375,-0.279,-0.49
Northern Hemisphere,1895,-0.368,-0.269,-0.476
Northern Hemisphere,1896,-0.152,-0.061,-0.258
Northern Hemisphere,1897,-0.144,-0.048,-0.242
Northern Hemisphere,1898,-0.288,-0.203,-0.389
Northern Hemisphere,1899,-0.22,-0.131,-0.323
Northern Hemisphere,1900,-0.096,-0.004,-0.196
Northern Hemisphere,1901,-0.124,-0.043,-0.22
Northern Hemisphere,1902,-0.367,-0.294,-0.454
Northern Hemisphere,1903,-0.4,-0.329,-0.492
Northern Hemisphere,1904,-0.485,-0.414,-0.573
