Entity,Year,Median,UpperBound,LowerBound
Tropics,1850,-0.308,-0.278,-0.363
Tropics,1851,-0.229,-0.198,-0.28
Tropics,1852,-0.133,-0.104,-0.184
Tropics,1853,-0.141,-0.115,-0.195
Tropics,1854,-0.2,-0.172,-0.255
Tropics,1855,-0.247,-0.217,-0.299
Tropics,1856,-0.296,-0.27,-0.351
Tropics,1857,-0.528,-0.501,-0.58
Tropics,1858,-0.478,-0.453,-0.53
Tropics,1859,-0.358,-0.332,-0.414
Tropics,1860,-0.296,-0.268,-0.35
Tropics,1861,-0.446,-0.413,-0.493
Tropics,1862,-0.386,-0.353,-0.433
Tropics,1863,-0.395,-0.361,-0.448
Tropics,1864,-0.503,-0.471,-0.552
Tropics,1865,-0.197,-0.166,-0.245
Tropics,1866,-0.258,-0.218,-0.306
Tropics,1867,-0.15,-0.113,-0.204
Tropics,1868,-0.159,-0.125,-0.216
Tropics,1869,-0.158,-0.132,-0.207
Tropics,1870,-0.235,-0.211,-0.276
Tropics,1871,-0.17,-0.142,-0.213
Tropics,1872,-0.323,-0.295,-0.36
Tropics,1873,-0.302,-0.271,-0.337
Tropics,1874,-0.482,-0.442,-0.522
Tropics,1875,-0.237,-0.201,-0.289
Tropics,1876,-0.331,-0.291,-0.386
Tropics,1877,0.092,0.138,0.035
Tropics,1878,0.215,0.256,0.156
Tropics,1879,-0.215,-0.181,-0.27
Tropics,1880,-0.215,-0.179,-0.273
Tropics,1881,-0.052,-0.017,-0.106
Tropics,1882,-0.24,-0.208,-0.296
Tropics,1883,-0.312,-0.282,-0.361
Tropics,1884,-0.379,-0.349,-0.424
Tropics,1885,-0.288,-0.262,-0.34
Tropics,1886,-0.337,-0.311,-0.385
Tropics,1887,-0.444,-0.415,-0.493
Tropics,1888,-0.079,-0.049,-0.127
Tropics,1889,-0.053,-0.016,-0.113
Tropics,1890,-0.513,-0.468,-0.58
Tropics,1891,-0.235,-0.185,-0.309
Tropics,1892,-0.458,-0.402,-0.538
